kind,key,status,notes,test_ref
extension,"approval",todo,,
extension,"auto_tagger",todo,,
extension,"autocomplete",todo,,
extension,"ban_words",todo,,
extension,"biography",todo,,
extension,"blotter",todo,,
extension,"browser_search",todo,,
extension,"cron_uploader",todo,,
extension,"custom_html_headers",todo,,
extension,"danbooru_api",todo,,
extension,"favorites",todo,,
extension,"featured",todo,,
extension,"google_analytics",todo,,
extension,"handle_video",todo,,
extension,"home",todo,,
extension,"ipban",todo,,
extension,"notes",todo,,
extension,"pm",todo,,
extension,"random_image",todo,,
extension,"random_list",todo,,
extension,"rating",todo,,
extension,"regen_thumb",todo,,
extension,"relationships",todo,,
extension,"site_description",todo,,
extension,"sitemap",todo,,
extension,"source_history",todo,,
extension,"tag_history",todo,,
extension,"wiki",todo,,
extension,"word_filter",todo,,
route,"admin/bulk_rate",todo,,
route,"api/danbooru/add_post",todo,,
route,"api/danbooru/find_posts",todo,,
route,"api/danbooru/find_tags",todo,,
route,"api/danbooru/post/create.xml",todo,,
route,"api/danbooru/post/index.xml",todo,,
route,"api/danbooru/post/show/{id}",todo,,
route,"api/internal/autocomplete",todo,,
route,"approve_image/{image_id}",todo,,
route,"auto_tag/add",todo,,
route,"auto_tag/export/auto_tag.csv",todo,,
route,"auto_tag/import",todo,,
route,"auto_tag/list",todo,,
route,"auto_tag/remove",todo,,
route,"blotter/add",todo,,
route,"blotter/editor",todo,,
route,"blotter/list",todo,,
route,"blotter/remove",todo,,
route,"browser_search.xml",todo,,
route,"browser_search/{tag_search}",todo,,
route,"cron_upload",todo,,
route,"cron_upload/run",todo,,
route,"disapprove_image/{image_id}",todo,,
route,"favourite/add/{image_id}",todo,,
route,"favourite/remove/{image_id}",todo,,
route,"featured_image/download",todo,,
route,"featured_image/set/{image_id}",todo,,
route,"featured_image/view",todo,,
route,"home",todo,,
route,"ip_ban/bulk",todo,,
route,"ip_ban/create",todo,,
route,"ip_ban/delete",todo,,
route,"ip_ban/list",todo,,
route,"note/add_request",todo,,
route,"note/create_note",todo,,
route,"note/delete_note",todo,,
route,"note/history/{note_id}",todo,,
route,"note/list",todo,,
route,"note/nuke_notes",todo,,
route,"note/nuke_requests",todo,,
route,"note/requests",todo,,
route,"note/revert/{noteID}/{reviewID}",todo,,
route,"note/update_note",todo,,
route,"note/updated",todo,,
route,"note_history/{image_id}",todo,,
route,"pm/delete",todo,,
route,"pm/read/{pm_id}",todo,,
route,"pm/send",todo,,
route,"random",todo,,
route,"random/{search}",todo,,
route,"random_image/{action}",todo,,
route,"random_image/{action}/{search}",todo,,
route,"regen_thumb/mass",todo,,
route,"regen_thumb/one/{image_id}",todo,,
route,"sitemap.xml",todo,,
route,"source_history/all/{page}",todo,,
route,"source_history/bulk_revert",todo,,
route,"source_history/revert",todo,,
route,"source_history/{image_id}",todo,,
route,"tag_history/all/{page}",todo,,
route,"tag_history/bulk_revert",todo,,
route,"tag_history/revert",todo,,
route,"tag_history/{image_id}",todo,,
route,"user/{name}/biography",todo,,
route,"wiki",todo,,
route,"wiki/{title}",todo,,
route,"wiki/{title}/{action}",todo,,
table,"auto_tag",todo,,
table,"bans",todo,,
table,"blotter",todo,,
table,"note_histories",todo,,
table,"note_request",todo,,
table,"notes",todo,,
table,"private_message",todo,,
table,"source_histories",todo,,
table,"tag_histories",todo,,
table,"user_favorites",todo,,
table,"wiki_pages",todo,,
